Stock A,Stock B,p-value
BAJAJFINSV.NS,BRITANNIA.NS,0.27649199510252803
MUTHOOTFIN.NS,ULTRACEMCO.NS,0.28305708042651223
BANKBARODA.NS,GAIL.NS,0.2840477848471057
ASIANPAINT.NS,SRF.NS,0.28757117163433604
AXISBANK.NS,CANBK.NS,0.2892884976562795
BPCL.NS,ICICIBANK.NS,0.2898835642257866
JINDALSTEL.NS,ONGC.NS,0.29098689696867885
IDFCFIRSTB.NS,SIEMENS.NS,0.2909976927507908
IOC.NS,JINDALSTEL.NS,0.2923215027345872
HCLTECH.NS,TECHM.NS,0.2940860753476623
COALINDIA.NS,SIEMENS.NS,0.2941562473291329
AMBUJACEM.NS,TVSMOTOR.NS,0.29579122983302275
HEROMOTOCO.NS,LT.NS,0.2965085981404288
CANBK.NS,GRASIM.NS,0.2966994023920344
HINDALCO.NS,OIL.NS,0.29747322154571143
HINDUNILVR.NS,PIDILITIND.NS,0.29793162018305464
EICHERMOT.NS,TATASTEEL.NS,0.2992343954613401
AMBUJACEM.NS,PIDILITIND.NS,0.29998831353638156
BHARATFORG.NS,CHOLAFIN.NS,0.3026127853234858
ADANIENT.NS,BHARATFORG.NS,0.30288520453672846
HAVELLS.NS,SRF.NS,0.3046262928888802
BHARATFORG.NS,HINDALCO.NS,0.30556614158325446
IDFCFIRSTB.NS,TATAPOWER.NS,0.30804976976127063
OIL.NS,ONGC.NS,0.30961844358857327
ADANIPORTS.NS,MARUTI.NS,0.31235114396023383
ICICIBANK.NS,ICICIPRULI.NS,0.31329582139527234
TATAPOWER.NS,TATASTEEL.NS,0.3133136180435693
HINDALCO.NS,LT.NS,0.31512745745149817
ADANIENT.NS,ICICIBANK.NS,0.3153074887531071
BRITANNIA.NS,MARUTI.NS,0.31601783980035597
MARUTI.NS,ULTRACEMCO.NS,0.31742863636716667
MARUTI.NS,TATACHEM.NS,0.3191176035182084
ADANIPORTS.NS,MUTHOOTFIN.NS,0.3201551269400337
TATAPOWER.NS,TVSMOTOR.NS,0.32050968676574665
BPCL.NS,MARUTI.NS,0.32184012863103206
HINDALCO.NS,MUTHOOTFIN.NS,0.32199032943908096
JINDALSTEL.NS,NTPC.NS,0.32231499440951006
LT.NS,SIEMENS.NS,0.3230784335382211
AMBUJACEM.NS,SRF.NS,0.32331674287418555
HAVELLS.NS,TATAPOWER.NS,0.32382985847069795
HEROMOTOCO.NS,ULTRACEMCO.NS,0.32428233128360223
ADANIENT.NS,JINDALSTEL.NS,0.32504262387008154
DABUR.NS,TATACONSUM.NS,0.32658882698767844
AMBUJACEM.NS,MARUTI.NS,0.3281835494540546
CHOLAFIN.NS,MARUTI.NS,0.3291107786103253
SRF.NS,TATACONSUM.NS,0.32959934238817534
MARUTI.NS,SIEMENS.NS,0.33108375051327293
HINDALCO.NS,ONGC.NS,0.33185683919002695
LT.NS,ULTRACEMCO.NS,0.33186389520092574
ADANIENT.NS,SBIN.NS,0.33249953338922555
HEROMOTOCO.NS,TATAPOWER.NS,0.33474835331593755
SIEMENS.NS,TATAPOWER.NS,0.3365049551141911
BPCL.NS,TATASTEEL.NS,0.33792095879321327
COALINDIA.NS,IOC.NS,0.3397366058561976
AMBUJACEM.NS,BPCL.NS,0.3399343781707893
GAIL.NS,LT.NS,0.3407689504211878
IDFCFIRSTB.NS,TATASTEEL.NS,0.341907090680021
AXISBANK.NS,M&M.NS,0.34272290771269964
CANBK.NS,CHOLAFIN.NS,0.3436180999238536
SHREECEM.NS,ULTRACEMCO.NS,0.3448903173343999
COLPAL.NS,GODREJCP.NS,0.34644001655641943
ADANIENT.NS,ULTRACEMCO.NS,0.3466127974225961
MARUTI.NS,TATACONSUM.NS,0.3469474386230636
GRASIM.NS,ONGC.NS,0.3479714603811178
HINDALCO.NS,SIEMENS.NS,0.3482271098273891
IDFCFIRSTB.NS,SBIN.NS,0.34911030866018034
ADANIPORTS.NS,TVSMOTOR.NS,0.3543072510877
CHOLAFIN.NS,ICICIPRULI.NS,0.35644670083589725
BHARTIARTL.NS,ULTRACEMCO.NS,0.35704613112834593
BAJFINANCE.NS,HINDALCO.NS,0.3593777290177338
CHOLAFIN.NS,TATACONSUM.NS,0.3595615814894656
COALINDIA.NS,VEDL.NS,0.36012128908219376
JINDALSTEL.NS,MARUTI.NS,0.36017796040088146
GAIL.NS,SIEMENS.NS,0.3606476846106027
GAIL.NS,POWERGRID.NS,0.361333085500404
BAJFINANCE.NS,BRITANNIA.NS,0.36314937996353136
SHREECEM.NS,TATAPOWER.NS,0.364338425909994
NTPC.NS,SBIN.NS,0.36561702734038115
BAJAJFINSV.NS,SBIN.NS,0.3660073927083499
MARUTI.NS,TITAN.NS,0.3677618175028327
AXISBANK.NS,BAJAJFINSV.NS,0.370370785319594
RELIANCE.NS,TATASTEEL.NS,0.3710848928044693
HDFCBANK.NS,HINDALCO.NS,0.371422879893479
ADANIENT.NS,TATAPOWER.NS,0.3715244226494814
IDFCFIRSTB.NS,TVSMOTOR.NS,0.3721230407036772
HDFCBANK.NS,SBIN.NS,0.3730275567574168
AXISBANK.NS,RELIANCE.NS,0.37341424226401343
SRF.NS,UBL.NS,0.37368623024010855
BANKBARODA.NS,IDFCFIRSTB.NS,0.3739160453542744
ASHOKLEY.NS,IOC.NS,0.37562198402432684
